a,b,c,d,e,f,g
Model_D,Model_D_6,Model_D,1,0.9712867,0.91741073,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_D/Model_D_6/27321576
Model_D,Model_D_6,Model_D,2,0.9932496,0.94104457,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_D/Model_D_6/27321576
Model_D,Model_D_7,Model_D,3,0.9198229,0.89055264,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_D/Model_D_7/27528989
Model_D,Model_D_8,Model_D,0,0.9936996,0.94401044,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_D/Model_D_8/27321584
Model_D,Model_D_8,Model_D,2,0.99486065,0.9476273,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_D/Model_D_8/27321584
Model_D,Model_D_8,Model_D,1,0.9911344,0.94256365,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_D/Model_D_8/27512034
Model_D,Model_D_8,Model_D,2,0.99450064,0.9409722,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_D/Model_D_8/27512034
Model_D,Model_D_9,Model_D,1,0.921704,0.8914207,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_D/Model_D_9/27529001
Model_D,Model_D_9,Model_D,4,0.89273113,0.869864,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_D/Model_D_9/27529001
Model_D,Model_D_9,Model_D,4,0.98857826,0.93070024,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_D/Model_D_9/27321590
Model_E,Model_E_0,Model_E,2,0.9903964,0.9215856,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_E/Model_E_0/27243397
Model_E,Model_E_2,Model_E,2,0.9876422,0.9246962,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_E/Model_E_2/27512547
Model_E,Model_E_3,Model_E,4,0.9875522,0.9316406,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_E/Model_E_3/27512553
Model_E,Model_E_4,Model_E,2,0.99587774,0.9427807,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_E/Model_E_4/27512557
Model_E,Model_E_4,Model_E,3,0.9933666,0.93098956,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_E/Model_E_4/27512557
Model_E,Model_E_5,Model_E,1,0.9953107,0.9348958,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_E/Model_E_5/27512560
Model_E,Model_E_5,Model_E,4,0.9916925,0.9398148,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_E/Model_E_5/27512560
Model_E,Model_E_6,Model_E,0,0.9920615,0.93793404,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_E/Model_E_6/27512561
Model_E,Model_E_6,Model_E,3,0.984591,0.9252749,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_E/Model_E_6/27512561
Model_E,Model_E_9,Model_E,3,0.9936996,0.93793404,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_E/Model_E_9/27512570
